County,MMWR Week 25,MMWR Week 26,MMWR Week 27,MMWR Week 28,MMWR Week 29
Aitkin,0.0,0.6,0.6,2.5,2.5
Anoka,3.7,5.8,5.3,7.1,8.4
Becker,1.5,0.6,0.6,7.7,5.3
Beltrami,0.4,0.2,3.3,11.1,9.5
Benton,2.8,1.3,3.3,5.8,7.8
Big Stone,0.0,0.0,6.0,2.0,4.0
Blue Earth,13.0,23.7,13.6,17.3,14.3
Brown,1.6,2.8,2.4,7.1,3.6
Carlton,0.0,0.6,2.5,2.3,2.8
Carver,2.9,4.5,8.1,11.3,9.2
Cass,0.0,0.7,2.1,2.4,3.4
Chippewa,9.2,5.8,2.5,4.2,2.5
Chisago,1.3,1.3,1.6,1.8,4.0
Clay,3.8,6.2,4.0,7.0,8.0
Clearwater,0.0,1.1,2.3,5.7,0.0
Cook,0.0,0.0,0.0,0.0,1.9
Cottonwood,10.6,6.2,2.6,7.0,7.9
Crow Wing,0.9,0.8,1.1,2.5,3.6
Dakota,4.2,6.3,6.8,8.2,8.6
Dodge,4.4,5.3,4.4,5.8,6.8
Douglas,0.8,1.9,1.6,6.5,4.8
Faribault,3.6,14.4,5.0,1.4,7.2
Fillmore,1.9,1.4,1.9,3.4,5.7
Freeborn,8.8,6.9,4.3,6.9,4.6
Goodhue,1.5,2.6,2.6,2.4,2.2
Grant,0.0,5.1,13.5,26.9,5.1
Hennepin,4.8,7.3,7.7,10.0,10.9
Houston,5.4,4.8,2.1,2.1,0.5
Hubbard,0.0,0.0,1.4,1.4,1.9
Isanti,1.5,2.6,2.6,2.8,2.3
Itasca,0.0,1.1,0.0,2.9,6.4
Jackson,6.0,1.0,1.0,4.0,3.0
Kanabec,0.0,0.6,0.0,2.5,2.5
Kandiyohi,2.3,0.9,3.5,6.3,5.4
Kittson,0.0,2.3,0.0,0.0,2.3
Koochiching,0.0,3.2,3.2,10.3,15.0
Lac qui Parle,1.5,0.0,0.0,1.5,1.5
Lake,0.9,0.9,0.0,4.7,1.9
Lake of the Woods,0.0,0.0,0.0,0.0,0.0
Le Sueur,3.6,7.1,8.2,12.2,10.7
Lincoln,1.8,5.3,1.8,33.3,36.8
Lyon,21.3,7.4,10.4,13.2,12.4
Mahnomen,0.0,1.8,7.3,5.4,10.9
Marshall,0.0,0.0,0.0,8.5,3.2
Martin,0.5,4.0,7.5,3.0,6.0
McLeod,4.2,3.3,3.1,3.3,2.8
Meeker,3.0,0.9,1.3,2.6,3.5
Mille Lacs,0.4,0.8,0.8,2.3,2.7
Morrison,0.6,0.3,1.2,2.7,1.2
Mower,29.3,23.2,10.6,7.1,7.6
Murray,4.8,4.8,16.8,29.9,23.9
Nicollet,2.1,10.7,8.9,11.5,6.5
Nobles,5.5,9.2,9.2,10.5,9.6
Norman,0.0,3.0,0.0,3.0,6.1
Olmsted,7.5,8.3,6.5,11.3,7.6
Otter Tail,0.5,1.0,1.6,4.8,3.1
Pennington,0.0,0.0,1.4,3.5,2.8
Pine,0.3,1.7,3.1,0.7,2.1
Pipestone,1.1,10.9,38.1,38.1,32.7
Polk,2.5,2.2,1.3,2.5,3.5
Pope,0.0,0.0,1.8,9.1,7.3
Ramsey,6.4,5.8,5.8,7.8,8.7
Red Lake,0.0,0.0,2.5,2.5,5.0
Redwood,0.0,2.6,2.6,3.3,1.3
Renville,4.1,4.8,8.2,0.0,4.8
Rice,10.0,7.6,6.8,6.4,3.8
Rock,3.2,1.1,2.1,6.4,11.7
Roseau,0.0,1.9,6.5,7.1,5.8
Scott,3.3,5.3,7.9,11.5,9.5
Sherburne,0.6,2.1,3.8,6.0,9.2
Sibley,3.4,12.7,3.4,6.7,4.7
St Louis,1.0,0.9,1.8,3.0,2.5
Stearns,1.7,9.5,10.1,7.8,6.1
Steele,6.5,4.1,5.5,6.0,8.5
Stevens,2.0,1.0,2.0,7.2,1.0
Swift,0.0,0.0,3.2,20.2,6.4
Todd,6.1,2.0,0.8,1.2,0.8
Traverse,0.0,0.0,3.0,9.0,3.0
Wabasha,2.3,1.4,0.5,5.6,6.5
Wadena,2.9,0.7,0.0,2.2,2.2
Waseca,4.3,8.0,5.3,6.9,9.0
Washington,3.8,5.1,5.6,7.1,7.8
Watonwan,55.6,32.8,21.9,30.1,10.9
Wilkin,7.9,0.0,3.2,1.6,0.0
Winona,2.6,3.9,2.4,6.9,7.3
Wright,1.4,3.0,3.8,6.4,6.5
Yellow Medicine,13.2,6.1,1.0,4.1,7.1
